time,temperature,KE,PE,TE,P
0.0,0.8480351153198997,1.2720526729798496,-5.117305280373618,-3.845252607393768,19.603891347784533
0.005,0.8375388870011896,1.2563083305017844,-5.1015061492952185,-3.8451978187934337,19.77212860451349
0.01,0.8063481467586268,1.20952222013794,-5.05453946805406,-3.845017247916119,20.277248828038385
0.015,0.7566158995038481,1.1349238492557723,-4.9796160550397355,-3.844692205783963,21.08616688650582
0.02,0.6921102021920662,1.0381653032880993,-4.882371926503465,-3.8442066232153658,22.13992944337213
0.025,0.6182954143789815,0.9274431215684723,-4.771009263239803,-3.8435661416713307,23.35117127314901
0.030000000000000002,0.5421699887222579,0.8132549830833868,-4.65607755834481,-3.8428225752614233,24.60556748479221
0.035,0.4716587894349245,0.7074881841523868,-4.549570852206593,-3.8420826680542066,25.771114789262143
0.04,0.41449908027960836,0.6217486204194125,-4.463238940300842,-3.8414903198814296,26.716774637265324
0.045,0.37681044224843996,0.5652156633726599,-4.406395807982889,-3.841180144610229,27.33743555509981
0.049999999999999996,0.3617810033397627,0.5426715050096441,-4.383893156983288,-3.8412216519736444,27.57825624747505
0.05499999999999999,0.3690061840193054,0.553509276028958,-4.395094024471352,-3.841584748442394,27.446102209387373
0.05999999999999999,0.39477549514476007,0.59216324271714,-4.434320406468466,-3.842157163751326,27.00536174169009
0.06499999999999999,0.4331664311026673,0.6497496466540009,-4.492542778395806,-3.8427931317418045,26.357409586235573
0.06999999999999999,0.47749891072762757,0.7162483660914413,-4.559610376626102,-3.8433620105346606,25.61560578487388
0.075,0.5216645810154449,0.7824968715231674,-4.62627618072824,-3.843779309205073,24.882049645018867
0.08,0.5610279755186046,0.8415419632779069,-4.685554960418978,-3.8440129971410717,24.23279622301548
0.085,0.5928297354362309,0.8892446031543463,-4.733315067766749,-3.8440704646124026,23.71213436800133
0.09000000000000001,0.616183434328837,0.9242751514932556,-4.768256176491728,-3.8439810249984725,23.333022518422943
0.09500000000000001,0.6318011403779937,0.9477017105669906,-4.791489191471592,-3.8437874809046013,23.082419960195597
0.10000000000000002,0.6415644008550117,0.9623466012825175,-4.805881476396816,-3.8435348751142984,22.928398505693394
0.10500000000000002,0.6480455696010277,0.9720683544015415,-4.815333676963974,-3.843265322562432,22.827997144122165
0.11000000000000003,0.6540310416713693,0.981046562507054,-4.824066576972772,-3.8430200144657185,22.7351247045215
0.11500000000000003,0.6620814062175429,0.9931221093263142,-4.835955333478453,-3.842833224152139,22.607755782153532
0.12000000000000004,0.6741769636841402,1.0112654455262102,-4.853991224922734,-3.8427257793965244,22.413401785881263
0.12500000000000003,0.6914695503104925,1.0372043254657388,-4.879912575515339,-3.8427082500496,22.133369186944385
0.13000000000000003,0.7141590522774431,1.0712385784161647,-4.914017701534679,-3.842779123118514,21.76510522764088
0.13500000000000004,0.7415277943279067,1.1122916914918601,-4.955208912094085,-3.8429172206022253,21.321333177162444
0.14000000000000004,0.7721493518130785,1.1582240277196179,-5.001313454623807,-3.8430894269041893,20.826541745409784
0.14500000000000005,0.8042347786390063,1.2063521679585094,-5.049608707912177,-3.843256539953668,20.311396638375175
0.15000000000000005,0.8360388511404969,1.2540582767107453,-5.097443224345136,-3.8433849476343913,19.805361018772587
0.15500000000000005,0.8662034472174679,1.299305170826202,-5.142762239617605,-3.8434570687914027,19.33090541424057
0.16000000000000006,0.8939493123515128,1.3409239685272691,-5.184398182801273,-3.843474214274004,18.900326437584113
0.16500000000000006,0.9191001853164472,1.3786502779746708,-5.222099109153626,-3.8434488311789554,18.515884759901624
0.17000000000000007,0.9419671777680308,1.4129507666520462,-5.256349096947713,-3.8433983302956674,18.171303995297347
0.17500000000000007,0.9631719888005722,1.4447579832008581,-5.288100377604823,-3.8433423944039644,17.85572421634503
0.18000000000000008,0.9834692502149902,1.4752038753224854,-5.318493032809736,-3.843289157487251,17.556134868901314
0.18500000000000008,1.003610877125818,1.505416315688727,-5.348664988177097,-3.8432486724883703,17.259967131296122
0.19000000000000009,1.0242560359647759,1.5363840539471638,-5.379609400232515,-3.8432253462853514,16.956112796876326
0.1950000000000001,1.0458871204132658,1.5688306806198988,-5.412060082836454,-3.8432294022165543,16.63629697153067
0.2000000000000001,1.068692416707939,1.6030386250619086,-5.446317115415131,-3.8432784903532227,16.296860347877114
0.2050000000000001,1.0924096953495042,1.6386145430242562,-5.481999583034332,-3.843385040010076,15.94149158175243
0.2100000000000001,1.1162168417219887,1.674325262582983,-5.517868384724533,-3.84354312214155,15.583824003804047
0.2150000000000001,1.1388330767608503,1.7082496151412754,-5.551961109092511,-3.8437114939512367,15.245890327932564
0.2200000000000001,1.1589127922509432,1.7383691883764147,-5.5822071922961625,-3.843838003919747,14.950733145278171
0.22500000000000012,1.1755345481500399,1.7633018222250598,-5.607195163881487,-3.843893341656427,14.713981546478953
0.23000000000000012,1.1885114636313518,1.7827671954470279,-5.626642374237793,-3.843875178790765,14.538252467998845
0.23500000000000013,1.1984310863642704,1.7976466295464055,-5.64144767786649,-3.843801048320085,14.412817339777217
0.24000000000000013,1.2064506246354336,1.8096759369531505,-5.653381836150722,-3.8437058991975723,14.317196148845412
0.24500000000000013,1.2138989484012226,1.820848422601834,-5.6644846782323865,-3.843636255630553,14.227997664523105
0.2500000000000001,1.221817763996457,1.8327266459946852,-5.676344633989846,-3.8436179879951604,14.127114297140837
0.2550000000000001,1.2306972592640568,1.8460458888960851,-5.689694505486104,-3.843648616590018,14.006342038150803
0.2600000000000001,1.240424431386803,1.8606366470802045,-5.704372768407826,-3.843736121327621,13.867525053690885
